id,passResult
372_2018090902,I
437_2018090902,C
482_2018090902,C
527_2018090902,C
551_2018090902,C
575_2018090902,C
673_2018090902,I
695_2018090902,C
797_2018090902,C
821_2018090902,C
845_2018090902,C
885_2018090902,C
989_2018090902,I
1011_2018090902,C
1040_2018090902,C
1085_2018090902,C
1182_2018090902,C
1206_2018090902,C
1302_2018090902,I
1326_2018090902,C
1406_2018090902,C
1472_2018090902,C
1517_2018090902,C
1541_2018090902,I
1614_2018090902,C
1697_2018090902,I
1730_2018090902,I
1752_2018090902,C
1815_2018090902,C
1839_2018090902,C
1863_2018090902,C
1904_2018090902,C
1969_2018090902,I
2002_2018090902,C
2043_2018090902,C
2166_2018090902,I
2209_2018090902,S
2297_2018090902,S
2316_2018090902,C
2382_2018090902,C
2406_2018090902,C
2435_2018090902,I
2457_2018090902,C
2481_2018090902,C
2505_2018090902,I
2527_2018090902,C
2558_2018090902,C
2582_2018090902,C
2662_2018090902,C
2686_2018090902,C
2710_2018090902,C
2739_2018090902,I
2824_2018090902,C
2933_2018090902,I
2955_2018090902,C
3031_2018090902,S
3092_2018090902,S
3113_2018090902,I
3214_2018090902,S
3233_2018090902,I
3299_2018090902,C
3480_2018090902,C
3525_2018090902,I
3597_2018090902,C
3674_2018090902,C
3698_2018090902,C
3727_2018090902,C
3751_2018090902,C
3812_2018090902,I
3851_2018090902,I
3907_2018090902,I
3929_2018090902,I
3962_2018090902,C
3986_2018090902,C
4031_2018090902,C
4055_2018090902,C
4096_2018090902,C
4120_2018090902,C
4144_2018090902,C
4173_2018090902,C
4197_2018090902,I
4219_2018090902,C
4300_2018090902,C
79_2018090903,C
149_2018090903,C
194_2018090903,C
218_2018090903,I
333_2018090903,C
382_2018090903,C
424_2018090903,C
451_2018090903,C
513_2018090903,C
596_2018090903,C
641_2018090903,I
663_2018090903,I
685_2018090903,C
762_2018090903,C
791_2018090903,I
813_2018090903,C
837_2018090903,C
878_2018090903,C
941_2018090903,C
1074_2018090903,C
1146_2018090903,C
1235_2018090903,I
1336_2018090903,C
1444_2018090903,C
1515_2018090903,C
1556_2018090903,I
1585_2018090903,I
1947_2018090903,C
1971_2018090903,I
2064_2018090903,I
2230_2018090903,IN
2267_2018090903,C
2348_2018090903,I
2381_2018090903,C
2405_2018090903,C
2453_2018090903,IN
2509_2018090903,IN
2556_2018090903,C
2597_2018090903,I
2806_2018090903,C
2834_2018090903,I
2894_2018090903,C
3007_2018090903,I
3029_2018090903,C
3086_2018090903,C
3117_2018090903,I
3139_2018090903,C
3213_2018090903,I
3235_2018090903,C
3264_2018090903,C
3349_2018090903,I
3371_2018090903,C
3438_2018090903,IN
3485_2018090903,I
3507_2018090903,C
3578_2018090903,IN
3625_2018090903,S
3661_2018090903,C
3728_2018090903,C
3755_2018090903,I
3777_2018090903,C
3801_2018090903,I
3840_2018090903,I
3999_2018090903,C
4028_2018090903,I
4050_2018090903,I
4072_2018090903,C
4096_2018090903,C
162_2018090905,I
228_2018090905,C
313_2018090905,C
337_2018090905,I
377_2018090905,C
406_2018090905,C
451_2018090905,C
475_2018090905,I
516_2018090905,I
585_2018090905,I
628_2018090905,I
757_2018090905,IN
783_2018090905,I
829_2018090905,S
882_2018090905,C
906_2018090905,C
930_2018090905,I
963_2018090905,C
987_2018090905,I
1047_2018090905,C
1138_2018090905,C
1222_2018090905,C
1247_2018090905,I
1269_2018090905,C
1337_2018090905,S
1356_2018090905,I
1419_2018090905,I
1441_2018090905,C
1465_2018090905,C
1489_2018090905,I
1511_2018090905,I
1533_2018090905,I
1601_2018090905,C
1646_2018090905,IN
1689_2018090905,C
1713_2018090905,I
1951_2018090905,C
2062_2018090905,C
2123_2018090905,C
2147_2018090905,I
2169_2018090905,C
2193_2018090905,C
2345_2018090905,C
2369_2018090905,C
2433_2018090905,C
2471_2018090905,C
2516_2018090905,C
2557_2018090905,I
2600_2018090905,I
2622_2018090905,I
2686_2018090905,C
2710_2018090905,C
2755_2018090905,I
2777_2018090905,C
2839_2018090905,I
2861_2018090905,I
2949_2018090905,C
3078_2018090905,C
3125_2018090905,C
3218_2018090905,C
3242_2018090905,C
3283_2018090905,I
3305_2018090905,C
3371_2018090905,C
3395_2018090905,C
3445_2018090905,S
3546_2018090905,C
3591_2018090905,S
3621_2018090905,C
3645_2018090905,C
3709_2018090905,S
3774_2018090905,I
3822_2018090905,I
3970_2018090905,I
3992_2018090905,I
4053_2018090905,C
4142_2018090905,C
4330_2018090905,I
4385_2018090905,I
4414_2018090905,C
4464_2018090905,I
58_2018090906,C
87_2018090906,C
142_2018090906,C
284_2018090906,C
354_2018090906,C
456_2018090906,C
480_2018090906,C
508_2018090906,I
534_2018090906,C
604_2018090906,C
628_2018090906,I
730_2018090906,I
752_2018090906,C
776_2018090906,C
868_2018090906,C
922_2018090906,C
967_2018090906,C
1027_2018090906,C
1113_2018090906,C
1188_2018090906,I
1221_2018090906,I
1304_2018090906,I
1326_2018090906,C
1350_2018090906,S
1419_2018090906,I
1441_2018090906,C
1465_2018090906,C
1493_2018090906,C
1583_2018090906,C
1649_2018090906,C
1799_2018090906,C
1823_2018090906,C
1851_2018090906,C
1927_2018090906,I
1949_2018090906,C
2020_2018090906,C
2061_2018090906,C
2261_2018090906,C
2310_2018090906,C
2339_2018090906,C
2372_2018090906,I
2409_2018090906,C
2479_2018090906,I
2501_2018090906,I
2607_2018090906,C
2648_2018090906,C
2748_2018090906,I
2812_2018090906,C
2868_2018090906,C
2897_2018090906,I
2923_2018090906,C
2981_2018090906,C
3051_2018090906,C
3143_2018090906,C
3167_2018090906,C
3195_2018090906,C
3223_2018090906,C
3311_2018090906,C
3335_2018090906,C
3363_2018090906,I
3433_2018090906,I
3466_2018090906,C
3546_2018090906,C
3570_2018090906,C
3594_2018090906,C
3667_2018090906,I
3708_2018090906,C
3732_2018090906,I
3754_2018090906,I
3776_2018090906,C
3808_2018090906,I
3834_2018090906,C
3967_2018090906,C
4116_2018090906,C
4140_2018090906,C
4173_2018090906,C
4201_2018090906,C
4229_2018090906,C
79_2018090907,C
170_2018090907,I
192_2018090907,C
248_2018090907,I
270_2018090907,I
498_2018090907,C
541_2018090907,C
565_2018090907,S
584_2018090907,IN
641_2018090907,C
686_2018090907,C
710_2018090907,C
936_2018090907,C
960_2018090907,C
1005_2018090907,C
1050_2018090907,C
1079_2018090907,C
1155_2018090907,I
1177_2018090907,C
1235_2018090907,I
1268_2018090907,C
1292_2018090907,C
1316_2018090907,C
1358_2018090907,C
1382_2018090907,C
1465_2018090907,C
1537_2018090907,C
1578_2018090907,S
1597_2018090907,C
1638_2018090907,C
1662_2018090907,I
1716_2018090907,S
1752_2018090907,I
1785_2018090907,C
1826_2018090907,I
1988_2018090907,I
2021_2018090907,I
2096_2018090907,C
2141_2018090907,I
2200_2018090907,C
2224_2018090907,C
2324_2018090907,I
2396_2018090907,I
2418_2018090907,C
2463_2018090907,C
2511_2018090907,I
2556_2018090907,I
2618_2018090907,C
2642_2018090907,I
2664_2018090907,I
2686_2018090907,I
2744_2018090907,I
2787_2018090907,I
2853_2018090907,C
2895_2018090907,I
2957_2018090907,C
3033_2018090907,I
3055_2018090907,I
3077_2018090907,C
3122_2018090907,C
3171_2018090907,I
3193_2018090907,I
3259_2018090907,IN
3332_2018090907,C
3430_2018090907,C
3475_2018090907,I
3522_2018090907,C
3567_2018090907,C
3692_2018090907,C
3716_2018090907,I
3755_2018090907,I
3777_2018090907,C
3826_2018090907,C
3871_2018090907,C
3895_2018090907,I
3955_2018090907,I
3977_2018090907,I
79_2018090909,C
114_2018090909,I
157_2018090909,C
225_2018090909,C
249_2018090909,I
387_2018090909,I
453_2018090909,C
477_2018090909,C
556_2018090909,C
602_2018090909,I
784_2018090909,C
851_2018090909,C
896_2018090909,I
1005_2018090909,C
1071_2018090909,C
1126_2018090909,C
1218_2018090909,C
1351_2018090909,I
1373_2018090909,I
1446_2018090909,C
1470_2018090909,C
1494_2018090909,C
1535_2018090909,C
1559_2018090909,C
1583_2018090909,C
1647_2018090909,C
1682_2018090909,S
1722_2018090909,C
1751_2018090909,S
1772_2018090909,C
1899_2018090909,C
1944_2018090909,C
1968_2018090909,I
2062_2018090909,I
2084_2018090909,I
2180_2018090909,I
2225_2018090909,I
2319_2018090909,C
2375_2018090909,I
2397_2018090909,I
2430_2018090909,I
2590_2018090909,S
2618_2018090909,C
2699_2018090909,C
2744_2018090909,I
2766_2018090909,C
2790_2018090909,S
2809_2018090909,IN
2920_2018090909,I
2974_2018090909,I
2996_2018090909,C
3067_2018090909,I
3138_2018090909,C
3162_2018090909,C
3228_2018090909,C
3273_2018090909,C
3297_2018090909,C
3321_2018090909,C
3366_2018090909,C
3390_2018090909,I
3446_2018090909,C
3731_2018090909,C
3755_2018090909,I
3777_2018090909,C
3801_2018090909,I
3835_2018090909,I
3916_2018090909,C
3956_2018090909,I
3978_2018090909,C
4002_2018090909,C
4026_2018090909,C
4050_2018090909,I
4072_2018090909,S
191_2018090910,C
236_2018090910,I
414_2018090910,C
477_2018090910,I
499_2018090910,C
523_2018090910,I
577_2018090910,C
676_2018090910,C
725_2018090910,C
784_2018090910,I
806_2018090910,C
894_2018090910,I
923_2018090910,I
985_2018090910,S
1025_2018090910,I
1131_2018090910,C
1155_2018090910,I
1288_2018090910,S
1307_2018090910,I
1381_2018090910,C
1426_2018090910,I
1467_2018090910,C
1491_2018090910,C
1536_2018090910,C
1560_2018090910,I
1678_2018090910,C
1718_2018090910,I
1740_2018090910,C
1764_2018090910,C
1865_2018090910,C
1876_2018090910,C
1954_2018090910,S
1982_2018090910,I
2136_2018090910,C
2204_2018090910,I
2226_2018090910,C
2250_2018090910,S
2309_2018090910,C
2344_2018090910,I
2434_2018090910,I
2528_2018090910,I
2580_2018090910,C
2604_2018090910,I
2626_2018090910,S
2649_2018090910,C
2729_2018090910,C
2753_2018090910,C
2797_2018090910,C
2863_2018090910,C
3007_2018090910,I
3082_2018090910,C
3106_2018090910,C
3130_2018090910,C
3171_2018090910,C
3333_2018090910,C
3434_2018090910,C
3458_2018090910,S
3502_2018090910,C
3526_2018090910,C
3550_2018090910,C
3574_2018090910,S
3605_2018090910,I
3638_2018090910,S
3657_2018090910,I
3702_2018090910,C
3726_2018090910,I
3883_2018090910,I
3931_2018090910,S
93_2018090912,I
115_2018090912,I
137_2018090912,I
242_2018090912,C
266_2018090912,C
316_2018090912,C
402_2018090912,C
474_2018090912,S
503_2018090912,C
629_2018090912,C
653_2018090912,S
697_2018090912,C
732_2018090912,C
756_2018090912,I
795_2018090912,C
919_2018090912,C
983_2018090912,C
1081_2018090912,I
1103_2018090912,C
1127_2018090912,S
1216_2018090912,I
1259_2018090912,C
1300_2018090912,S
1371_2018090912,C
1395_2018090912,C
1419_2018090912,C
1464_2018090912,S
1493_2018090912,C
1555_2018090912,I
1617_2018090912,I
1639_2018090912,C
1666_2018090912,S
1702_2018090912,I
1724_2018090912,IN
1837_2018090912,C
1882_2018090912,C
1906_2018090912,I
1939_2018090912,C
1963_2018090912,I
1985_2018090912,C
2030_2018090912,C
2080_2018090912,C
2115_2018090912,I
2205_2018090912,C
2258_2018090912,C
2282_2018090912,C
2348_2018090912,C
2372_2018090912,C
2417_2018090912,I
2439_2018090912,I
2495_2018090912,C
2519_2018090912,I
2602_2018090912,I
2635_2018090912,C
2659_2018090912,C
2683_2018090912,C
2724_2018090912,C
2748_2018090912,C
2775_2018090912,C
2868_2018090912,C
2934_2018090912,C
2958_2018090912,C
2982_2018090912,C
3006_2018090912,C
3030_2018090912,C
3081_2018090912,C
3105_2018090912,S
3271_2018090912,C
3464_2018090912,I
3520_2018090912,I
3542_2018090912,I
3564_2018090912,C
3674_2018090912,C
3704_2018090912,I
3726_2018090912,I
3748_2018090912,I
3781_2018090912,C
3805_2018090912,I
3827_2018090912,I
3849_2018090912,I
3871_2018090912,S
4043_2018090912,I
60_2018091000,IN
175_2018091000,I
197_2018091000,C
242_2018091000,C
287_2018091000,I
330_2018091000,S
372_2018091000,I
426_2018091000,I
494_2018091000,C
539_2018091000,C
566_2018091000,C
694_2018091000,I
716_2018091000,I
738_2018091000,IN
785_2018091000,C
872_2018091000,S
1005_2018091000,C
1029_2018091000,I
1051_2018091000,C
1101_2018091000,IN
1186_2018091000,C
1210_2018091000,C
1254_2018091000,C
1278_2018091000,I
1300_2018091000,C
1362_2018091000,C
1451_2018091000,C
1501_2018091000,I
1523_2018091000,I
1610_2018091000,C
1672_2018091000,C
1753_2018091000,C
1782_2018091000,C
1840_2018091000,C
1864_2018091000,C
1888_2018091000,C
1927_2018091000,I
1987_2018091000,I
2129_2018091000,C
2153_2018091000,C
2177_2018091000,C
2201_2018091000,C
2258_2018091000,C
2303_2018091000,I
2357_2018091000,C
2402_2018091000,C
2495_2018091000,IN
2579_2018091000,I
2604_2018091000,I
2713_2018091000,I
2735_2018091000,IN
2782_2018091000,I
2880_2018091000,C
2904_2018091000,C
2944_2018091000,C
2968_2018091000,C
2992_2018091000,C
3016_2018091000,I
3127_2018091000,C
3151_2018091000,C
3175_2018091000,C
3216_2018091000,C
3240_2018091000,C
3269_2018091000,C
3298_2018091000,C
3323_2018091000,I
3345_2018091000,C
3369_2018091000,C
3393_2018091000,I
3415_2018091000,I
3437_2018091000,I
3549_2018091000,C
3602_2018091000,C
3632_2018091000,I
3654_2018091000,I
3676_2018091000,IN
3765_2018091000,C
3879_2018091000,C
124_2018091001,C
235_2018091001,C
362_2018091001,I
451_2018091001,C
475_2018091001,C
524_2018091001,I
556_2018091001,C
580_2018091001,C
604_2018091001,C
694_2018091001,C
741_2018091001,S
792_2018091001,I
820_2018091001,C
915_2018091001,C
939_2018091001,C
980_2018091001,C
1086_2018091001,C
1151_2018091001,I
1181_2018091001,I
1214_2018091001,C
1280_2018091001,I
1302_2018091001,S
1372_2018091001,C
1396_2018091001,C
1441_2018091001,C
1507_2018091001,IN
1555_2018091001,I
1673_2018091001,I
1695_2018091001,I
1780_2018091001,C
1843_2018091001,C
1867_2018091001,C
1891_2018091001,I
1946_2018091001,C
1970_2018091001,C
1994_2018091001,C
2035_2018091001,I
2089_2018091001,C
2280_2018091001,C
2350_2018091001,C
2416_2018091001,I
2514_2018091001,I
2553_2018091001,I
2575_2018091001,I
2715_2018091001,I
2737_2018091001,C
2821_2018091001,S
2897_2018091001,C
2921_2018091001,C
2945_2018091001,C
3049_2018091001,C
3099_2018091001,I
3151_2018091001,C
3175_2018091001,C
3199_2018091001,C
3223_2018091001,I
3293_2018091001,I
3315_2018091001,C
3339_2018091001,I
3361_2018091001,C
3385_2018091001,I
3441_2018091001,I
3463_2018091001,C
3487_2018091001,C
3511_2018091001,IN
3580_2018091001,I
3602_2018091001,C
3626_2018091001,I
3715_2018091001,C
3765_2018091001,I
3787_2018091001,C
3904_2018091001,C
3928_2018091001,C
3952_2018091001,C
3976_2018091001,IN
4123_2018091001,C
4147_2018091001,C
4192_2018091001,C
60_2018091300,I
103_2018091300,S
181_2018091300,I
215_2018091300,I
345_2018091300,IN
371_2018091300,I
470_2018091300,I
524_2018091300,C
646_2018091300,C
670_2018091300,S
737_2018091300,I
776_2018091300,C
829_2018091300,C
858_2018091300,I
880_2018091300,C
980_2018091300,C
1004_2018091300,S
1090_2018091300,C
1114_2018091300,C
1188_2018091300,C
1212_2018091300,I
1345_2018091300,C
1369_2018091300,C
1452_2018091300,I
1474_2018091300,C
1561_2018091300,C
1585_2018091300,C
1630_2018091300,I
1677_2018091300,I
1770_2018091300,I
1841_2018091300,C
1865_2018091300,C
1926_2018091300,I
1969_2018091300,C
2029_2018091300,I
2051_2018091300,C
2108_2018091300,I
2130_2018091300,C
2196_2018091300,C
2279_2018091300,C
2303_2018091300,I
2351_2018091300,I
2373_2018091300,I
2395_2018091300,I
2421_2018091300,I
2443_2018091300,I
2484_2018091300,I
2506_2018091300,C
2547_2018091300,C
2588_2018091300,C
2617_2018091300,I
2705_2018091300,I
2727_2018091300,C
2826_2018091300,C
2850_2018091300,I
2908_2018091300,I
2934_2018091300,I
2979_2018091300,C
3024_2018091300,I
3055_2018091300,I
3147_2018091300,C
3192_2018091300,C
3239_2018091300,I
3301_2018091300,C
3351_2018091300,C
3375_2018091300,I
3397_2018091300,C
3421_2018091300,C
3487_2018091300,I
3530_2018091300,I
3571_2018091300,C
3595_2018091300,C
3640_2018091300,C
3685_2018091300,IN
3722_2018091300,C
3746_2018091300,C
3770_2018091300,C
3832_2018091300,I
3873_2018091300,I
3895_2018091300,C
3919_2018091300,C
3943_2018091300,C
4014_2018091300,C
4038_2018091300,I
4081_2018091300,C
4157_2018091300,C
4262_2018091300,I
4295_2018091300,C
4340_2018091300,C
4436_2018091300,C
4503_2018091300,I
4525_2018091300,I
4564_2018091300,S
4741_2018091300,I
4774_2018091300,I
4796_2018091300,I
4818_2018091300,C
4867_2018091300,C
4891_2018091300,C
4915_2018091300,C
4967_2018091300,I
4989_2018091300,C
5013_2018091300,C
5037_2018091300,I
5059_2018091300,C
5083_2018091300,I
5105_2018091300,C
93_2018091600,C
159_2018091600,I
267_2018091600,C
312_2018091600,C
415_2018091600,C
506_2018091600,C
530_2018091600,C
577_2018091600,S
632_2018091600,C
656_2018091600,I
727_2018091600,C
751_2018091600,I
798_2018091600,C
860_2018091600,C
926_2018091600,I
1049_2018091600,C
1073_2018091600,I
1128_2018091600,C
1205_2018091600,C
1229_2018091600,I
1262_2018091600,I
1310_2018091600,C
1402_2018091600,C
1512_2018091600,C
1539_2018091600,I
1561_2018091600,S
1597_2018091600,C
1698_2018091600,C
1722_2018091600,C
1751_2018091600,C
1780_2018091600,C
1809_2018091600,C
1850_2018091600,C
1913_2018091600,C
1986_2018091600,C
2010_2018091600,IN
2061_2018091600,C
2090_2018091600,I
2207_2018091600,C
2361_2018091600,C
2406_2018091600,C
2467_2018091600,I
2493_2018091600,C
2527_2018091600,C
2650_2018091600,C
2695_2018091600,I
2717_2018091600,C
2809_2018091600,I
2831_2018091600,C
2872_2018091600,C
2896_2018091600,I
2929_2018091600,C
2979_2018091600,I
3001_2018091600,C
3025_2018091600,C
3049_2018091600,C
3138_2018091600,C
3183_2018091600,C
3207_2018091600,C
3342_2018091600,I
3364_2018091600,C
3393_2018091600,C
3428_2018091600,IN
3506_2018091600,C
3549_2018091600,C
3578_2018091600,C
3605_2018091600,C
3629_2018091600,C
3657_2018091600,C
3751_2018091600,C
3876_2018091600,C
3900_2018091600,I
3931_2018091600,C
3955_2018091600,C
4001_2018091600,I
4023_2018091600,C
4104_2018091600,I
93_2018091601,C
186_2018091601,S
241_2018091601,C
290_2018091601,C
357_2018091601,C
400_2018091601,I
451_2018091601,C
556_2018091601,C
633_2018091601,C
717_2018091601,C
745_2018091601,I
808_2018091601,I
834_2018091601,I
872_2018091601,C
954_2018091601,S
973_2018091601,C
1075_2018091601,C
1155_2018091601,C
1219_2018091601,C
1314_2018091601,I
1336_2018091601,C
1389_2018091601,C
1423_2018091601,C
1510_2018091601,C
1538_2018091601,C
1587_2018091601,C
1676_2018091601,C
1721_2018091601,C
1785_2018091601,I
1811_2018091601,C
1835_2018091601,I
1945_2018091601,C
1974_2018091601,S
2178_2018091601,C
2359_2018091601,C
2459_2018091601,I
2615_2018091601,C
2643_2018091601,S
2662_2018091601,C
2686_2018091601,I
2735_2018091601,I
2794_2018091601,S
2838_2018091601,I
2915_2018091601,IN
2962_2018091601,S
2981_2018091601,C
3123_2018091601,C
3151_2018091601,I
3173_2018091601,I
3235_2018091601,C
3293_2018091601,C
3344_2018091601,C
3482_2018091601,C
3575_2018091601,IN
3639_2018091601,C
3667_2018091601,C
3782_2018091601,I
3863_2018091601,I
3889_2018091601,C
3917_2018091601,I
3964_2018091601,C
3992_2018091601,C
4037_2018091601,S
4056_2018091601,C
4084_2018091601,I
4106_2018091601,C
4163_2018091601,C
51_2018091602,C
75_2018091602,C
141_2018091602,I
163_2018091602,S
199_2018091602,C
242_2018091602,C
298_2018091602,C
346_2018091602,S
426_2018091602,C
450_2018091602,C
516_2018091602,C
561_2018091602,C
585_2018091602,C
636_2018091602,I
658_2018091602,C
793_2018091602,I
815_2018091602,C
839_2018091602,I
893_2018091602,C
917_2018091602,C
968_2018091602,C
1024_2018091602,C
1069_2018091602,I
1129_2018091602,I
1174_2018091602,C
1240_2018091602,C
1264_2018091602,I
1286_2018091602,I
1308_2018091602,I
1349_2018091602,I
1392_2018091602,C
1422_2018091602,C
1509_2018091602,C
1533_2018091602,C
1562_2018091602,C
1603_2018091602,I
1663_2018091602,C
1724_2018091602,I
1768_2018091602,C
1813_2018091602,C
1837_2018091602,C
1910_2018091602,C
1976_2018091602,C
2000_2018091602,S
2048_2018091602,C
2093_2018091602,C
2117_2018091602,S
2136_2018091602,C
2160_2018091602,C
2212_2018091602,C
2236_2018091602,I
2289_2018091602,I
2366_2018091602,C
2390_2018091602,I
2437_2018091602,I
2459_2018091602,S
2478_2018091602,C
2547_2018091602,C
2595_2018091602,C
2619_2018091602,I
2641_2018091602,C
2665_2018091602,C
2727_2018091602,C
2799_2018091602,C
2823_2018091602,IN
2860_2018091602,C
2884_2018091602,C
3004_2018091602,C
3100_2018091602,I
3122_2018091602,C
3180_2018091602,C
3236_2018091602,C
3260_2018091602,I
3293_2018091602,C
3378_2018091602,C
3461_2018091602,I
3517_2018091602,IN
3581_2018091602,I
3626_2018091602,I
3693_2018091602,IN
3741_2018091602,I
3763_2018091602,C
3814_2018091602,C
3838_2018091602,I
3860_2018091602,C
3884_2018091602,C
3925_2018091602,C
3995_2018091602,I
4017_2018091602,C
4041_2018091602,C
4152_2018091602,C
4201_2018091602,C
4246_2018091602,I
4272_2018091602,I
4337_2018091602,C
4382_2018091602,C
4438_2018091602,S
4474_2018091602,C
4502_2018091602,C
4527_2018091602,C
4551_2018091602,C
4592_2018091602,C
59_2018091603,C
169_2018091603,C
198_2018091603,C
252_2018091603,C
358_2018091603,C
437_2018091603,C
461_2018091603,C
525_2018091603,C
576_2018091603,C
600_2018091603,I
637_2018091603,I
733_2018091603,I
844_2018091603,C
952_2018091603,S
1017_2018091603,I
1050_2018091603,C
1100_2018091603,C
1149_2018091603,I
1171_2018091603,C
1236_2018091603,C
1260_2018091603,I
1353_2018091603,C
1377_2018091603,C
1428_2018091603,C
1465_2018091603,C
1523_2018091603,S
1562_2018091603,C
1586_2018091603,C
1619_2018091603,C
1652_2018091603,C
1745_2018091603,C
1829_2018091603,C
1853_2018091603,C
1881_2018091603,I
2034_2018091603,C
2147_2018091603,I
2269_2018091603,I
2291_2018091603,C
